t	v
83.4	-69.3187
83.5	-69.3237
83.6	-69.3286
83.7	-69.3335
83.8	-69.3384
83.9	-69.3433
84	-69.3481
84.1	-69.353
84.2	-69.3578
84.3	-69.3626
84.4	-69.3674
84.5	-69.3722
84.6	-69.3769
84.7	-69.3817
84.8	-69.3864
84.9	-69.3911
85	-69.3958
85.1	-69.4005
85.2	-69.4051
85.3	-69.4098
85.4	-69.4144
85.5	-69.419
85.6	-69.4236
85.7	-69.4282
85.8	-69.4328
85.9	-69.4373
86	-69.4418
86.1	-69.4464
86.2	-69.4509
86.3	-69.4553
86.4	-69.4598
86.5	-69.4643
86.6	-69.4687
86.7	-69.4731
86.8	-69.4775
86.9	-69.4819
87	-69.4863
87.1	-69.4907
87.2	-69.495
87.3	-69.4994
87.4	-69.5037
87.5	-69.508
87.6	-69.5123
87.7	-69.5165
87.8	-69.5208
87.9	-69.5251
88	-69.5293
88.1	-69.5335
88.2	-69.5377
88.3	-69.5419
88.4	-69.5461
88.5	-69.5502
88.6	-69.5544
88.7	-69.5585
88.8	-69.5626
88.9	-69.5667
89	-69.5708
89.1	-69.5748
89.2	-69.5789
89.3	-69.5829
89.4	-69.587
89.5	-69.591
89.6	-69.595
89.7	-69.599
89.8	-69.603
89.9	-69.6069
90	-69.6109
90.1	-69.6148
90.2	-69.6187
90.3	-69.6226
90.4	-69.6265
90.5	-69.6304
90.6	-69.6342
90.7	-69.6381
90.8	-69.6419
90.9	-69.6458
91	-69.6496
91.1	-69.6534
91.2	-69.6571
91.3	-69.6609
91.4	-69.6647
91.5	-69.6684
91.6	-69.6721
91.7	-69.6759
91.8	-69.6796
91.9	-69.6833
92	-69.6869
92.1	-69.6906
92.2	-69.6943
92.3	-69.6979
92.4	-69.7015
92.5	-69.7051
92.6	-69.7088
92.7	-69.7123
92.8	-69.7159
92.9	-69.7195
93	-69.723
93.1	-69.7266
93.2	-69.7301
93.3	-69.7336
93.4	-69.7371
93.5	-69.7406
93.6	-69.7441
93.7	-69.7476
93.8	-69.751
93.9	-69.7545
94	-69.7579
94.1	-69.7613
94.2	-69.7647
94.3	-69.7681
94.4	-69.7715
94.5	-69.7749
94.6	-69.7782
94.7	-69.7816
94.8	-69.7849
94.9	-69.7882
95	-69.7915
95.1	-69.7948
95.2	-69.7981
95.3	-69.8014
95.4	-69.8047
95.5	-69.8079
95.6	-69.8112
95.7	-69.8144
95.8	-69.8176
95.9	-69.8208
96	-69.824
96.1	-69.8272
96.2	-69.8304
96.3	-69.8336
96.4	-69.8367
96.5	-69.8399
96.6	-69.843
96.7	-69.8461
96.8	-69.8492
96.9	-69.8523
97	-69.8554
97.1	-69.8585
97.2	-69.8616
97.3	-69.8646
97.4	-69.8677
97.5	-69.8707
97.6	-69.8737
97.7	-69.8767
97.8	-69.8797
97.9	-69.8827
98	-69.8857
98.1	-69.8887
98.2	-69.8916
98.3	-69.8946
98.4	-69.8975
98.5	-69.9004
98.6	-69.9034
98.7	-69.9063
98.8	-69.9092
98.9	-69.9121
99	-69.9149
99.1	-69.9178
99.2	-69.9207
99.3	-69.9235
99.4	-69.9263
99.5	-69.9292
99.6	-69.932
99.7	-69.9348
99.8	-69.9376
99.9	-69.9404
